typicalGlazingRatio typicalWindowWidth groundGlazingRatio groundWindowWidth buildingDepth balconyWidth siteWidth siteLength floorDepth groundHeight typicalHeight levelNo skylightArea netTotalArea netGroundArea buildingHeight atriumVolume roofArea groundSDA firstSDA groundASE firstASE
0.7 2 0.8 4 16 1 51 60 0.8 3 3 6 532 32940 3060 21 11172 2528 51.9 46.4 9.1 1.2
0.7 3 0.8 2 15 6 66 70 1 5 3 5 1440.0 33720 4620 20 28800 3180 100.0 39.7 27.1 5.3
0.8 4 0.9 3 15 1 63 48 0.4 5 3 10 594 53480 3024 35 20790 2430 100.0 NaN 24.0 NaN
0.8 4 0.7 4 19 3 48 50 0.6 4 3 3 120.0 13536 2400 13 1560 2280 75.7 NaN 11.7 NaN
0.8 2 0.8 3 16 1 62 76 0.6 3 3 1 1320 7952 4712 6 7920 3392 71.0 81.2 19.0 16.5
0.8 4 0.9 3 22 3 63 74 0.9 3 3 7 570 58968 4662 24 13680 4092 NaN NaN NaN NaN
0.9 3 0.8 2 15 4 63 70 1 4 3 5 1320 34260 4410 19 25080 3090 88.0 41.6 21.3 7.9
0.8 4 0.8 4 15 3 62 41 0.3 6 3 8 352.0 35504 2542 30 10560 2190 100.0 63.1 27.1 8.8
0.8 3 0.8 3 18 4 52 46 0.7 3 3 6 160.0 26112 2392 21 3360 2232 46.2 51.4 7.0 7.7
0.7 2 0.9 2 24 4 67 71 1 3 3 1 437.0 8677 4757 6 2622 4320 34.4 26.2 8.6 2.4
0.9 2 0.8 3 19 1 60 65 0.8 6 3 3 594 21312 3900 15 8910 3306 100.0 48.6 31.0 7.5
0.9 2 0.9 3 18 5 55 62 1 5 3 9 494.0 51984 3410 32 15808 2916 92.4 38.0 18.5 5.6
0.8 4 0.7 3 25 4 63 60 0.3 4 3 1 130 7182 3780 7 910 3650 68.2 47.4 12.2 6.2
0.7 4 0.8 4 16 3 69 42 0.6 4 3 5 370.0 25540 2898 19 7030 2528 84.2 46.1 14.6 5.9
0.9 3 0.9 2 16 5 68 46 0.8 6 3 5 504 25760 3128 21 10584 2624 100.0 52.4 20.9 9.3
0.8 2 0.9 4 16 3 43 43 0.6 3 3 8 121.0 27272 1849 27 3267 1728 53.0 53.6 8.2 5.2
0.7 3 0.7 3 15 4 44 43 0.6 3 3 7 182 23254 1892 24 4368 1710 57.3 55.5 6.2 7.0
0.9 2 0.8 3 23 5 56 63 0.9 6 3 5 170 32580 3528 21 3570 3358 98.7 36.9 19.1 4.0
0.8 2 0.8 3 19 2 72 59 0.7 4 3 7 714.0 52822 4248 25 17850 3534 71.2 38.3 14.1 3.3
0.7 3 0.7 4 15 1 69 71 0.9 6 3 3 1599 24105 4899 15 23985 3300 100.0 48.2 40.2 10.1
0.7 3 0.8 4 19 1 50 64 1 6 3 5 312.0 30040 3200 21 6552 2888 100.0 30.3 23.5 4.4
0.8 3 0.8 2 16 2 45 80 0.5 4 3 10 624 63160 3600 34 21216 2976 NaN NaN NaN NaN
0.9 2 0.7 4 16 1 50 57 0.6 4 3 9 450 46440 2850 31 13950 2400 77.7 49.4 12.0 8.2
0.8 3 0.8 4 19 6 60 74 0.5 6 3 8 792 57984 4440 30 23760 3648 100.0 47.1 26.0 6.8
0.9 2 0.8 3 19 3 64 49 0.7 6 3 8 286 45824 3136 30 8580 2850 100.0 46.0 20.9 8.1
0.7 2 0.9 2 17 2 72 65 0.4 6 3 5 1178 39450 4680 21 24738 3502 100.0 55.6 31.7 7.4
0.9 2 0.9 4 15 2 40 54 0.5 4 3 10 240 39280 2160 34 8160 1920 93.1 59.2 19.6 9.2
0.9 3 0.7 2 20 6 54 58 0.4 6 3 5 252 27420 3132 21 5292 2880 100.0 58.5 14.0 9.6
0.9 3 0.8 2 17 3 44 45 0.6 6 3 8 110 29504 1980 30 3300 1870 100.0 56.6 18.9 9.8
0.7 2 0.9 2 15 2 78 44 0.6 3 3 9 672 53352 3432 30 20160 2760 56.9 44.0 9.9 3.1
0.8 3 0.7 2 15 6 73 43 0.7 5 3 4 559 19612 3139 17 9503 2580 100.0 58.9 19.8 8.8
0.9 3 0.9 2 15 5 52 41 0.8 4 3 1 242.0 3592 2132 7 1694 1890 100.0 NaN 25.1 NaN
0.7 3 0.8 3 16 5 66 43 0.7 3 3 5 374 23760 2838 18 6732 2464 51.3 45.7 8.0 5.8
0.8 2 0.7 2 23 6 72 60 0.4 6 3 10 364.0 76520 4320 36 13104 3956 96.2 43.4 9.2 3.4
0.9 2 0.7 2 18 2 67 60 0.5 5 3 1 744.0 7060 4020 8 5952 3276 100.0 76.1 21.4 12.1
0.8 3 0.8 3 15 6 61 56 0.4 5 3 3 806.0 15594 3416 14 11284 2610 100.0 69.0 35.3 10.5
0.8 2 0.9 4 19 2 79 55 0.9 4 3 2 697.0 15490 4345 10 6970 3648 79.4 41.5 22.7 6.5
0.7 3 0.7 2 17 6 71 45 0.4 3 3 4 407 21052 3195 15 6105 2788 54.0 55.2 7.8 5.9
0.8 4 0.8 2 19 4 78 55 0.9 4 3 8 680.0 59040 4290 28 19040 3610 63.4 33.6 7.2 5.4
