typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE
0.8 4 0.8 4 21 3 2300 1.3 5 3 8 100.0 37.0 21.8 12.2
0.9 4 0.8 3 38 2 1300 1.5 4.5 2.6 7 49.8 23.1 13.7 8.0
0.8 3 0.8 4 34 4 2100 1.4 5.6 2.8 5 80.5 23.9 19.6 8.2
0.7 2 0.8 2 16 5 1200 0.7 5 2.6 10 100.0 36.0 28.1 10.8
0.7 2 0.8 2 32 4 3700 1.3 5 2.8 6 71.6 23.7 17.7 6.9
0.9 3 0.9 4 27 4 1100 1.4 3.1 2.6 4 44.1 29.9 11.0 11.0
0.8 4 0.8 4 38 6 2300 1.2 4.7 2.9 8 52.9 21.9 13.5 7.7
0.9 3 0.7 4 21 5 3000 0.6 5.5 2.8 6 100.0 34.7 25.5 14.3
0.9 4 0.9 4 36 2 2900 0.8 3.3 2.9 4 39.3 28.6 13.1 10.5
0.8 4 0.7 3 26 3 2400 0.9 4.4 2.6 10 67.1 28.5 19.4 9.6
0.7 2 0.8 4 26 2 1500 0.9 4.9 2.8 5 94.4 36.1 23.6 10.9
0.9 4 0.9 4 27 2 3900 1 5.9 2.5 8 100.0 34.2 29.5 11.1
0.8 4 0.9 4 22 5 1100 1 5.1 2.6 10 100.0 35.2 26.1 11.7
0.7 2 0.7 3 22 1 2900 1.3 5.6 2.8 1 100.0 55.4 37.7 17.7
0.8 4 0.9 2 30 3 3800 1.1 5.6 3 7 98.8 31.0 22.9 9.3
0.8 3 0.9 4 30 1 1200 1.4 3.1 2.9 7 40.2 33.2 10.0 10.3
0.7 2 0.9 2 26 3 3100 0.6 3.1 2.6 4 47.6 30.4 11.9 7.1
0.9 2 0.8 4 17 1 1200 0.5 3.4 3 1 98.1 94.6 31.6 33.5
0.8 4 0.8 2 15 3 1000 1.5 3.1 2.7 6 86.0 46.7 17.3 15.6
0.8 4 0.8 4 37 5 2100 0.5 5.3 2.9 7 61.8 22.2 16.2 8.4
0.8 2 0.9 4 28 4 2600 0.7 3.3 2.9 7 45.6 28.3 14.0 11.3
0.7 3 0.8 4 35 4 1700 1 4.2 2.9 9 49.4 23.6 14.8 6.1
0.8 2 0.8 2 35 6 1100 1.1 4.9 2.9 8 61.4 25.0 15.3 9.3
0.8 4 0.7 2 29 2 2200 1.3 3.9 2.6 2 58.3 35.1 18.8 11.3
0.7 4 0.8 4 31 1 3200 1.2 5.6 2.6 4 99.7 29.5 26.2 11.4
0.8 4 0.9 2 18 4 2500 1.3 3 2.9 4 65.4 45.2 14.2 13.3
0.9 2 0.8 2 23 4 1400 1.2 4.4 2.7 4 92.3 32.9 22.6 12.3
0.8 3 0.8 3 36 4 1200 0.6 3.2 2.8 7 31.6 23.6 10.7 9.4
0.8 4 0.7 4 22 1 3100 1.3 3.4 2.6 8 57.0 46.4 19.2 16.0
0.8 3 0.9 4 15 6 3200 1.1 3.7 2.8 9 99.8 45.3 25.8 17.0
0.7 3 0.9 2 35 3 1300 1 4.5 2.8 3 62.5 27.7 17.2 6.6
0.8 3 0.8 2 20 6 1400 1 5.6 2.5 2 100.0 32.2 29.8 11.2
0.7 4 0.8 4 38 3 1900 1.4 5.4 2.9 10 64.2 21.8 16.4 6.7
0.7 4 0.8 4 22 5 1200 0.7 4.9 2.6 3 99.7 28.6 22.5 10.3
0.8 4 0.8 4 18 3 2600 1.3 5.7 2.9 4 100.0 52.8 37.4 13.8
0.9 2 0.8 3 20 1 3100 0.7 5.5 2.8 7 100.0 48.6 35.4 19.6
0.8 2 0.8 3 20 5 3000 0.9 5 2.9 4 100.0 35.5 25.7 13.7
0.7 3 0.9 4 22 5 3600 0.6 4.2 2.5 9 92.8 24.9 21.4 8.2
0.9 2 0.8 4 24 3 1900 1.5 6 2.6 3 100.0 37.2 29.9 11.3
0.9 2 0.8 2 35 1 2700 0.8 4.2 2.6 2 57.8 32.5 20.3 11.4
0.9 2 0.9 4 26 4 3700 1 4.6 2.7 10 88.5 27.9 19.4 10.7
0.8 4 0.8 4 39 5 3400 0.7 4.3 2.6 1 49.7 29.6 13.6 10.7
0.9 4 0.8 2 26 2 3700 1.2 3.6 2.7 2 63.5 42.0 18.7 13.8
0.7 3 0.8 3 22 2 1600 1.5 4.4 2.8 10 94.1 34.7 20.9 10.4
0.7 3 0.8 2 30 4 3700 1.1 5.4 2.5 7 91.1 19.7 21.0 6.5
0.7 2 0.7 3 35 6 2900 1 4.5 2.7 4 51.7 22.3 14.1 5.9
0.8 3 0.8 3 22 5 1900 1.4 5.4 2.9 10 100.0 32.7 23.8 11.4
0.7 2 0.8 3 37 6 1200 1.2 4.2 2.7 2 48.2 22.9 14.5 6.0
0.8 2 0.9 2 26 1 3000 1 3.7 2.8 9 60.0 35.8 21.9 13.5
0.8 3 0.9 2 15 1 1400 1.4 5.9 2.8 1 100.0 94.5 64.4 30.1
0.8 3 0.7 2 35 5 1500 0.8 3.9 2.9 2 44.1 25.5 12.1 9.2
0.8 3 0.7 4 19 6 3100 1.2 3.6 2.9 4 79.8 36.8 16.9 13.4
0.8 4 0.8 2 39 5 3100 0.8 4.6 2.7 1 55.5 29.6 14.9 11.0
0.8 2 0.7 3 22 5 3700 0.7 3.6 2.8 10 60.7 31.3 15.7 12.6
0.9 4 0.8 3 30 1 1900 1.2 4.1 2.7 1 70.8 39.0 22.9 14.5
0.8 4 0.8 4 38 6 3200 1 3 2.8 6 26.2 21.1 8.0 6.8
0.8 3 0.8 3 15 4 2800 1.5 4.5 2.6 7 100.0 44.2 27.0 14.5
0.8 4 0.9 3 24 6 1600 0.8 4.1 3 10 82.0 33.4 20.8 11.9
0.9 2 0.8 2 20 1 2000 0.9 5.1 2.7 6 100.0 50.4 32.0 18.9
0.8 4 0.8 2 21 2 1700 0.6 4.1 2.5 9 89.6 32.4 22.7 11.8
0.9 4 0.7 4 29 1 3800 1.3 3.4 2.8 1 51.8 42.5 18.8 16.0
0.8 3 0.7 3 21 2 1600 1.1 4.1 2.9 10 83.7 37.0 18.4 13.7
0.9 3 0.9 4 38 2 3400 1.4 5.7 2.8 3 88.1 28.3 21.3 9.4
0.8 2 0.9 4 26 2 3900 0.6 5.6 2.7 5 100.0 35.2 29.1 14.6
0.9 2 0.7 3 25 1 1400 0.6 5.8 2.6 9 100.0 36.6 25.5 12.5
0.8 4 0.8 2 19 6 1300 0.8 5 2.9 10 100.0 38.1 24.2 13.5
0.8 3 0.7 4 37 4 3500 1.4 5.9 2.8 1 92.3 34.1 21.1 12.5
0.7 3 0.7 4 37 1 1000 0.9 4.3 2.7 1 53.9 31.7 17.9 10.1
0.8 2 0.8 2 39 6 3000 1.4 4.4 2.5 2 47.9 19.1 12.7 7.1
0.9 4 0.7 4 24 6 2500 1.2 3.4 2.5 3 52.8 NaN 12.2 NaN
0.8 4 0.9 3 16 4 1000 1.2 4.1 2.7 6 100.0 44.8 27.9 15.5
0.8 3 0.7 2 33 1 3800 0.9 3.1 2.6 6 35.3 29.4 10.4 10.5
0.8 2 0.8 3 19 3 2400 1.3 4.3 2.9 4 99.7 50.2 28.6 16.6
0.7 2 0.8 4 28 1 3400 0.5 3.2 2.7 7 40.4 31.0 12.2 7.0
0.9 2 0.7 3 16 4 1900 1.4 3.7 2.8 3 98.8 53.4 24.1 14.6
0.8 4 0.8 4 37 3 1700 1.1 5.3 2.6 2 74.7 27.6 20.6 8.7
0.8 3 0.8 4 36 5 3000 1.3 5.8 2.9 6 77.6 22.5 18.1 8.2
0.8 3 0.9 2 16 4 3700 0.6 4.7 2.9 9 100.0 43.3 28.1 18.1
0.8 3 0.8 3 36 3 1700 0.8 5.1 2.6 7 61.8 23.0 16.8 9.1
0.8 4 0.8 3 23 4 3800 0.9 3.9 2.8 2 88.8 39.0 23.1 11.1
0.9 4 0.8 3 37 6 3100 1.2 5.8 2.9 5 75.1 22.2 17.1 7.9
0.7 4 0.8 4 35 4 2900 1.4 3.6 2.8 7 41.8 22.2 11.3 7.0
0.8 2 0.8 3 16 3 2500 0.6 4.6 3 6 100.0 50.0 30.1 18.1
0.8 4 0.8 2 32 6 1600 0.9 3.8 2.6 6 48.4 25.1 12.8 8.3
0.7 3 0.8 3 30 6 1200 0.6 3.2 2.6 9 38.2 22.9 12.4 6.9
0.9 3 0.8 3 25 4 1000 1.4 3.5 2.7 1 61.9 46.8 17.7 17.9
