typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE groundViewPercentage firstViewPercentage
0.6 0.7 0.4 0.6 1 0.9 19.1 0.1 0.6 0.8 0.2 1.7 2.2 1.2 1.2 1.5 1.8
0.8 0.4 0.9 1 1.3 0.3 55.4 0.7 1 0.5 0.6 4.1 3.6 2.7 1.5 4.1 3.5
0.9 0.5 0.6 1 1.4 0.6 61.7 0.7 0.3 0.3 0.2 4.7 4.1 2.8 1.3 4 3.9
0.2 1 0.9 0.5 1.5 0.5 67.6 0.9 1.2 0.6 0.9 5.4 4.8 2.8 2 4.5 3.9
0.3 0.4 0.6 0.6 0.9 0.8 79.8 0.3 1.1 0.3 0.4 5.1 5.3 3.7 1.8 4.7 4.9
0.5 0.7 0.9 0.2 1.1 1 97.6 0.1 1.1 0.3 0.8 6 6.3 3.4 2 5.8 5.1
0.2 0.9 0.7 1 1.3 0.3 109.3 0.2 1.3 0.5 1 7.7 6.9 4.4 2.3 6.9 6.5
0.6 0.3 0.4 1 1.3 0.4 115.1 0.6 0.7 0.8 0.2 7.8 7.2 4.3 3 7.7 6.9
0.8 0.7 0.4 0.9 1.5 0.4 115.9 1 0.6 0.9 0.9 7.9 7.6 4.8 2.4 7.4 6.4
0.6 0.4 0.9 0.3 1.3 0.6 116.3 0.5 1.3 0.8 0.5 8.5 8 4.5 3 7.7 7
0.7 0.9 0.2 0.9 1.5 0.8 122.3 1 1.3 0.8 0.6 8.3 8.4 4.6 3.1 8.1 7.7
0.5 0.8 0.1 0.7 2 1 122.7 0.4 0.8 1 0.5 8.2 8 5 3.1 7.9 7.5
0.9 0.5 0.4 0.4 1.6 0.5 122.5 0.2 0.6 1.1 0.5 8.4 8 5.1 2.8 7.6 7.6
0.8 0.3 0.8 0.3 2.2 0.9 128.5 0.6 1.4 0.3 0.7 9.5 8.8 5.1 3 8.5 8
0.2 0.6 0.5 0.9 1.6 0.4 140.8 0.5 1.1 0.3 0.7 9.3 8.8 5.3 3.3 9.2 8
0.6 0.8 0.7 0.8 2.3 0.6 141.2 0.8 0.9 0.7 0.9 9.4 9.1 5.9 3.3 8.9 7.9
0.4 0.2 0.7 0.4 2.1 0.9 146.9 0.8 0.9 1 1.1 10.1 9.9 6.2 3.4 8.8 8.3
0.6 1 1 0.5 1.7 0.9 146.9 1 1.3 1.1 0.5 10 9.3 5.7 3.4 9.3 8.8
0.8 0.9 0.3 0.4 2.5 0.8 158.9 0.9 1.2 1 0.4 10.5 10.1 6.2 2.9 9.5 8.7
0.3 1 0.6 1.1 1.8 0.3 158.9 0.3 1.4 0.3 1 10.8 9.7 6.2 3.1 10.2 9.4
1 1 0.8 0.3 2.3 0.2 164.5 0.5 1.1 0.5 0.8 11.4 10.3 6.3 3.2 9.8 9.8
