typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE groundViewPercentage firstViewPercentage
0.7 1.4 0.6 1.3 12.2 1.9 1147.2 0.3 1.8 1.7 1.6 23 18.9 6 4.8 34.8 34.9
0.8 1.2 0.8 1.5 12.7 1.7 1192.5 0.6 2 1.6 1.8 24.8 20.2 7 5.1 37 36.7
0.8 1.3 0.6 1.5 13.2 1.9 1249 0.6 1.8 1.6 1.7 25.9 21 7 5.1 38.3 38.3
0.5 1.6 0.8 1.4 13.8 1.9 1305.3 0.7 2.2 1.7 2 26.9 21.9 7.1 5.5 39.9 39.8
0.5 1.4 0.7 1.5 14.2 2.1 1380.8 0.4 2.2 1.7 1.9 28.1 23 7.7 5.6 42 42.2
0.6 1.5 0.8 1.3 14.7 2.2 1417.2 0.4 2.3 1.7 2.1 28.7 23.5 7.5 5.7 43.1 43
0.5 1.6 0.7 1.6 15.2 2 1471.7 0.4 2.4 1.8 2.2 29.9 24.2 7.8 5.9 44.8 44.8
0.7 1.4 0.6 1.7 15.7 2.1 1524.7 0.5 2.2 2 2 30.7 24.9 7.9 6.2 46.5 46.3
0.7 1.6 0.6 1.6 16.2 2.2 1561.6 0.6 2.2 2 2.3 31.4 25.5 8.2 6.1 47.4 47.2
0.7 1.5 0.8 1.5 16.6 2.3 1611.5 0.5 2.5 2.1 2.2 32.4 26.3 8.3 6.4 48.9 48.8
0.7 1.7 0.6 1.7 17 2.4 1646.3 0.6 2.5 2.1 2.3 32.8 26.7 8.3 6.5 49.9 49.9
0.6 1.7 0.5 1.7 17.9 2.5 1720.1 0.5 2.4 2.2 2.4 33.7 27.3 8.6 6.6 51.4 51.5
0.7 1.6 0.6 1.6 18.3 2.4 1768.3 0.4 2.4 2.3 2.5 34.4 27.7 8.7 6.7 52.5 52.7
0.7 1.6 0.7 1.7 18.8 2.5 1812 0.5 2.6 2.1 2.6 35.1 28.3 8.8 6.8 53.7 53.8
0.6 1.7 0.7 1.8 19.2 2.5 1869 0.5 2.6 2.1 2.7 35.5 28.6 8.9 6.9 54.9 54.8
0.7 1.8 0.7 1.8 20.1 2.5 1939.7 0.5 2.6 2.3 2.9 36.4 29.4 9.3 7.1 56.4 56.4
0.7 1.7 0.7 1.8 20.5 2.6 1983.2 0.5 2.6 2.4 3 36.8 29.6 9.3 7.1 57.1 57.1
0.7 1.8 0.7 1.8 20.8 2.6 2022.9 0.6 2.7 2.4 3 36.9 29.7 9.2 7.2 57.8 57.9
0.7 1.8 0.6 1.8 21.3 2.6 2061 0.6 2.7 2.4 3.1 37 29.8 9.3 7.1 58.3 58.3
0.6 1.9 0.7 2 21.7 2.5 2115.9 0.5 2.8 2.3 3.4 37.1 29.7 9.3 7.1 59 59
0.7 1.9 0.7 1.9 22.2 2.5 2156.3 0.5 2.7 2.4 3.5 37 29.5 9.2 7.1 59.2 59.3
0.7 1.9 0.7 2 22.6 2.6 2199.5 0.5 2.7 2.4 3.6 36.8 29.4 9.1 7.2 59.5 59.5
0.7 1.8 0.7 1.9 23.1 2.6 2245.2 0.5 2.8 2.5 3.8 36.5 29.1 9.1 7.1 59.8 59.7
0.7 1.8 0.6 2 23.5 2.5 2293.2 0.5 2.8 2.4 3.9 36.2 28.8 8.9 7.1 60 59.9
0.7 1.9 0.7 2.1 23.8 2.5 2324.7 0.5 2.7 2.5 4.1 36 28.6 8.9 7 60.1 59.9
0.7 1.8 0.6 2.1 24.3 2.5 2377.5 0.5 2.7 2.5 4.2 35.8 28.5 9 7 60.4 60.3
0.6 1.9 0.7 2.1 24.8 2.5 2427.5 0.5 2.8 2.5 4.5 35.5 28.1 8.9 7 60.6 60.5
0.7 1.8 0.7 2.1 25.3 2.4 2476.4 0.5 2.8 2.5 4.6 35.1 27.8 8.8 6.9 60.8 60.5
0.7 1.9 0.6 2.1 25.8 2.4 2523.9 0.5 2.7 2.5 4.8 34.7 27.4 8.7 6.9 60.9 60.7
0.7 1.9 0.7 2.1 26.1 2.4 2556.7 0.5 2.7 2.5 4.9 34.4 27.2 8.7 6.8 61.1 60.7
0.7 1.9 0.7 2.2 26.4 2.4 2589.4 0.5 2.8 2.5 5.1 34.1 26.8 8.5 6.8 61.1 60.8
0.7 1.8 0.7 2.2 26.6 2.4 2609.8 0.5 2.8 2.5 5.2 33.9 26.6 8.5 6.8 61.1 60.8
0.7 1.9 0.6 2.2 26.9 2.4 2630.4 0.5 2.8 2.5 5.3 33.7 26.4 8.4 6.7 61.1 60.7
0.7 1.9 0.7 2.2 27.1 2.3 2651.2 0.5 2.8 2.5 5.3 33.5 26.2 8.4 6.7 61.1 60.7
0.7 1.8 0.7 2.2 27.3 2.4 2672 0.5 2.7 2.5 5.5 33.2 26 8.4 6.6 61.1 60.7
0.6 1.9 0.7 2.3 27.5 2.3 2692.8 0.5 2.8 2.5 5.5 33.1 25.8 8.3 6.6 61.1 60.7
0.7 1.8 0.7 2.3 27.7 2.3 2713.5 0.5 2.8 2.6 5.6 32.8 25.6 8.2 6.6 61 60.6
0.7 1.9 0.7 2.3 27.9 2.3 2733.8 0.5 2.8 2.5 5.7 32.6 25.5 8.2 6.6 61 60.7
0.7 1.9 0.7 2.2 28 2.3 2751.3 0.5 2.8 2.5 5.8 32.2 25 8 6.5 60.9 60.5
0.7 1.9 0.7 2.3 28.2 2.2 2770.5 0.5 2.8 2.5 5.9 31.9 24.8 7.9 6.5 60.9 60.5
0.7 1.8 0.7 2.4 28.4 2.3 2789 0.6 2.8 2.5 5.9 31.8 24.6 7.9 6.4 60.9 60.5
0.6 1.9 0.7 2.3 28.6 2.3 2806.3 0.5 2.8 2.5 6 31.6 24.5 7.8 6.4 60.9 60.4
0.7 1.9 0.6 2.3 28.8 2.3 2822.5 0.5 2.8 2.5 6.1 31.4 24.3 7.8 6.4 60.9 60.4
0.7 1.8 0.6 2.3 29 2.2 2851.9 0.5 2.7 2.5 6.3 30.5 23.5 7.4 6.1 60.4 59.9
0.7 1.9 0.7 2.4 29.2 2.2 2876 0.5 2.7 2.5 6.4 30.1 23.1 7.4 6.1 60.2 59.8
0.7 1.9 0.7 2.3 29.4 2.1 2898.4 0.5 2.8 2.6 6.5 29.7 22.7 7.2 6 60 59.6
0.7 1.9 0.7 2.3 29.7 2.1 2918.3 0.5 2.7 2.5 6.6 29.2 22.2 7.2 6 59.7 59.3
0.7 1.8 0.7 2.4 29.9 2.1 2940.5 0.4 2.7 2.5 6.7 28.6 21.7 7.1 5.9 59.3 58.7
0.6 1.8 0.7 2.4 30 2 2950.2 0.6 2.6 2.5 6.9 27.6 20.9 6.6 5.7 58.6 58.1
0.7 1.8 0.7 2.5 30 1.9 2957.6 0.4 2.6 2.5 6.9 27 20.4 6.6 5.5 58.2 57.6
0.5 1.5 0.7 1.2 12.6 1.6 1177.7 0.7 1.7 1.5 1.6 24.7 20.3 6.9 5.1 36.4 36.2
0.6 1.5 0.6 1.2 12.8 1.8 1234.8 0.6 2.1 1.7 1.9 25.6 21.1 7.3 5.3 38 38
0.8 1.4 0.7 1.3 13.6 2.1 1292.3 0.3 2.2 1.9 1.9 26.6 21.7 7.1 5.6 39.8 39.4
0.5 1.3 0.6 1.3 14.2 2.1 1369 0.6 2 1.8 2.2 28 22.8 7.4 5.5 41.7 41.7
0.7 1.3 0.8 1.3 14.8 1.9 1406.9 0.4 2.1 1.8 2.1 28.5 23.3 7.6 5.7 43 43
0.7 1.5 0.5 1.5 15.4 2.3 1463.8 0.5 2.2 1.8 2.1 29.7 24.2 7.9 5.7 44.5 44.4
0.6 1.7 0.8 1.7 15.6 2 1503.5 0.7 2.4 1.8 2.3 30.4 24.8 7.8 6 45.8 45.7
0.6 1.6 0.5 1.6 16.3 2.1 1559.5 0.5 2.3 2.1 2.3 31.4 25.5 8.2 6.2 47.4 47.2
0.8 1.6 0.7 1.7 16.7 2.3 1613.4 0.5 2.5 2.1 2.4 32.5 26.3 8.3 6.2 49 48.8
0.6 1.6 0.6 1.6 17.2 2.4 1653.1 0.5 2.3 2 2.4 33.1 26.7 8.5 6.4 50.1 50
0.6 1.7 0.8 1.7 17.5 2.3 1691.7 0.4 2.5 2.1 2.3 33.8 27.4 8.6 6.6 51.1 51.1
0.7 1.6 0.7 1.7 18.4 2.5 1785 0.5 2.5 2.1 2.5 34.7 28.1 8.7 6.7 53 53.2
0.6 1.6 0.8 1.7 18.9 2.4 1816.4 0.5 2.6 2.2 2.7 35.4 28.4 9 6.9 54.1 54.1
0.7 1.7 0.6 1.7 19.7 2.5 1898.4 0.5 2.6 2.2 2.7 36.4 29.4 9.2 7.1 56 56.1
0.6 1.8 0.7 1.8 20.1 2.5 1950.5 0.5 2.7 2.3 2.9 37 29.8 9.3 7.1 57.1 57
0.6 1.8 0.6 1.9 20.5 2.6 1995.4 0.5 2.7 2.4 2.9 37.4 30.2 9.4 7.2 58 58
0.7 1.8 0.6 1.9 20.9 2.7 2034.2 0.6 2.7 2.3 3 37.7 30.3 9.4 7.3 58.8 58.7
0.7 1.9 0.7 1.8 21.3 2.7 2069.4 0.6 2.8 2.4 3.1 37.9 30.4 9.5 7.3 59.2 59.3
0.7 1.9 0.7 1.9 21.8 2.7 2117.4 0.6 2.8 2.4 3.3 37.9 30.4 9.4 7.3 59.8 59.9
0.7 1.9 0.7 1.9 22.1 2.6 2152.6 0.5 2.8 2.4 3.4 37.8 30.3 9.3 7.3 60.2 60.1
0.7 1.8 0.7 1.9 22.5 2.7 2190.4 0.5 2.8 2.5 3.5 37.7 30.2 9.3 7.2 60.4 60.4
0.7 1.9 0.7 2 23 2.6 2234.2 0.5 2.8 2.4 3.6 37.7 30.1 9.4 7.3 60.8 60.7
0.6 1.9 0.7 2 23.4 2.6 2279 0.6 2.8 2.5 3.8 37.4 29.8 9.3 7.2 61 60.9
0.7 1.9 0.7 2 23.9 2.6 2326.5 0.5 2.8 2.5 4 37 29.5 9.2 7.2 61.1 61
0.7 1.9 0.7 2.1 24.3 2.5 2375.5 0.5 2.8 2.5 4.2 36.6 29.1 9.1 7.1 61.2 61.1
0.7 1.9 0.7 2.1 24.8 2.5 2425 0.5 2.8 2.5 4.4 36.2 28.7 9 7.1 61.4 61.2
0.7 1.9 0.6 2.1 25.3 2.5 2474.1 0.5 2.9 2.5 4.6 35.8 28.3 8.9 7.1 61.5 61.3
0.7 1.8 0.7 2.1 25.8 2.5 2521.9 0.5 2.8 2.5 4.8 35.3 27.9 8.8 7 61.6 61.4
0.7 1.8 0.7 2.2 26.1 2.5 2555.5 0.5 2.8 2.6 4.9 35 27.6 8.7 6.9 61.6 61.4
0.7 1.8 0.7 2.2 26.4 2.4 2589.1 0.5 2.9 2.6 5.1 34.8 27.3 8.6 6.9 61.7 61.4
0.7 1.9 0.7 2.2 26.7 2.4 2610.5 0.5 2.8 2.6 5.2 34.5 27.1 8.6 6.9 61.7 61.3
0.7 1.9 0.6 2.2 26.8 2.4 2632.3 0.5 2.8 2.5 5.2 34.3 26.9 8.6 6.8 61.6 61.4
0.7 1.9 0.7 2.3 27.1 2.4 2654.4 0.5 2.8 2.5 5.3 34 26.7 8.5 6.8 61.6 61.3
0.7 1.9 0.7 2.3 27.3 2.4 2676.7 0.6 2.8 2.5 5.4 33.7 26.5 8.4 6.7 61.7 61.3
0.7 1.9 0.7 2.2 27.6 2.4 2699.1 0.5 2.8 2.6 5.5 33.5 26.2 8.4 6.7 61.6 61.3
0.7 1.8 0.7 2.2 27.8 2.4 2721.5 0.5 2.8 2.5 5.6 33.3 26 8.3 6.7 61.6 61.3
0.7 1.9 0.7 2.3 27.9 2.3 2743.9 0.5 2.8 2.5 5.7 33.1 25.8 8.2 6.7 61.6 61.3
0.7 1.8 0.7 2.3 28.2 2.3 2766 0.5 2.8 2.5 5.8 32.8 25.6 8.2 6.6 61.7 61.3
0.7 1.9 0.7 2.3 28.4 2.3 2787.7 0.5 2.8 2.5 5.9 32.6 25.3 8.1 6.6 61.6 61.3
0.7 1.8 0.7 2.3 28.7 2.3 2808.9 0.6 2.8 2.5 5.9 32.4 25.2 8.1 6.6 61.7 61.3
0.7 1.8 0.7 2.3 28.8 2.3 2829.2 0.5 2.8 2.6 6.1 32.2 25 8.1 6.6 61.6 61.3
0.7 1.9 0.7 2.3 29 2.2 2848.4 0.5 2.8 2.5 6.1 32 24.8 8 6.5 61.7 61.2
0.7 1.9 0.7 2.4 29.1 2.2 2864 0.5 2.8 2.5 6.2 31.6 24.4 7.8 6.4 61.5 61.1
0.7 1.9 0.7 2.3 29.4 2.3 2891.7 0.5 2.8 2.5 6.4 31.2 24 7.7 6.4 61.4 61
0.7 1.8 0.7 2.4 29.7 2.2 2917.1 0.5 2.8 2.5 6.5 30.4 23.3 7.5 6.2 61 60.6
0.7 1.9 0.7 2.4 29.9 2.2 2941.9 0.5 2.8 2.5 6.6 30 22.9 7.3 6.1 60.8 60.4
0.7 1.9 0.6 2.4 30.2 2.2 2970.7 0.6 2.7 2.6 6.7 29.4 22.4 7.2 6.1 60.4 60
0.7 1.8 0.7 2.4 30.4 2.1 2989.7 0.5 2.7 2.5 6.8 28.9 22 7 5.9 60.2 59.7
